Kepler ID,KOI,Morph,Mult,BJD0,BJD0 Err,Period,Period Err,Kepmag,Teff,RA,Dec
9356753,,0.76,1,54953.947585,0.034078,0.592679,5.00e-7,12.966,6021,297.04350,45.86690
9357030,,0.93,1,55001.917598,0.015656,0.280442,2.00e-7,15.536,5452,297.12390,45.85870
9357275,,0.52,1,54954.065668,0.025808,1.588298,2.00e-6,12.186,7545,297.20250,45.84990
9365025,,0.94,1,54954.462569,0.055605,0.984304,1.00e-6,11.902,8012,299.36790,45.88400
9366988,3597,0.46,1,55000.455947,0.092105,1.219030,3.00e-6,14.371,5661,299.97160,45.81190
9388303,,0.78,1,55002.002211,0.014314,0.266703,2.00e-7,15.551,5385,283.62580,45.92170
9389122,,0.75,1,54964.907981,0.019050,0.349950,2.00e-7,14.313,5400,284.08340,45.94690
9392331,,0.77,1,55000.339626,0.015183,0.261762,2.00e-7,15.699,5993,285.86760,45.98800
9392682,,0.80,1,54954.624705,0.050708,0.892918,9.00e-7,11.498,7195,286.05710,45.94940
9392702,,0.37,1,54964.893911,0.033764,3.909314,1.60e-5,14.618,6170,286.06960,45.90060
9394601,3684,0.59,1,54955.415456,0.024709,0.876826,9.00e-7,12.290,6118,287.15310,45.98380
9402652,,0.65,1,54954.289305,0.032276,1.073104,1.10e-6,11.823,6641,291.27870,45.93420
9408183,,-1.00,1,54979.695875,,49.683544,2.84e-4,13.179,4896,293.49320,45.98760
9408440,,0.00,1,55346.365980,0.096130,989.985000,,13.199,5688,293.59060,45.93170
9411317,6067,0.08,1,54965.243657,0.017236,8.290501,1.05e-3,17.409,4416,294.66850,45.96640
9411943,,0.22,1,54967.087833,0.019340,3.844023,7.40e-6,14.738,5656,294.94180,45.92960
9412114,,0.86,1,55001.893873,0.014397,0.250252,2.00e-7,15.226,5991,295.00120,45.99050
9412462,,0.28,1,54965.527824,0.062163,10.186590,3.00e-5,14.846,5350,295.12040,45.96860
9414905,,0.92,1,54964.709629,0.026384,0.456526,3.00e-7,13.634,5792,295.96420,45.98080
9418619,6068,0.07,1,54955.121931,0.011765,6.150247,1.44e-5,10.622,8671,297.18180,45.98840
9418994,,0.03,1,54969.494160,0.027822,32.003801,1.54e-4,13.396,5053,297.28390,45.95310
9419603,,0.77,1,54964.960981,0.058864,1.052417,1.10e-6,15.311,5652,297.46280,45.96780
9426071,706,0.05,1,54986.893812,0.038191,28.714204,1.33e-4,13.765,6425,299.28310,45.96440
9426970,,0.97,1,54999.421800,0.089045,1.771133,2.40e-6,13.227,6577,299.55090,45.91490
9446824,1382,0.28,1,55004.107067,0.027991,4.202335,8.70e-6,15.653,5921,282.18440,46.00690
9450883,,0.94,1,55001.995079,0.020979,0.363656,2.00e-7,15.225,5755,284.69290,46.07950
9451096,,0.54,1,54954.729422,0.022359,1.250391,1.40e-6,12.640,,284.80710,46.09800
9451127,1381,0.22,1,54967.585803,0.028697,5.117402,1.11e-5,15.764,5881,284.82270,46.01370
9451598,,0.92,1,54964.808713,0.019939,0.362349,2.00e-7,13.627,6060,285.11910,46.05060
9453192,,0.83,1,54964.889020,0.043582,0.718837,6.00e-7,14.022,6729,286.00590,46.04890
9466316,,0.84,1,54964.896663,0.021492,0.352535,2.00e-7,15.702,5223,292.42860,46.03360
9468296,,0.12,1,54965.278331,0.012606,5.748826,1.32e-5,15.311,4814,293.21980,46.05370
9468382,3409,0.19,1,55002.914027,0.041754,11.082489,3.36e-5,13.566,4911,293.25260,46.04900
9468384,3466,0.16,1,55579.196929,0.041538,11.082578,7.23e-5,16.411,5595,293.25280,46.05160
9470054,,0.96,1,55003.412755,0.079880,1.473228,1.80e-6,11.723,7794,293.90330,46.09900
9470175,,0.77,1,54964.841477,0.016501,0.303832,2.00e-7,15.347,5438,293.94360,46.00460
9472174,,0.78,1,54953.643178,0.018318,0.125765,1.00e-7,12.264,10645,294.63590,46.06640
9474222,,0.12,1,54966.790781,0.040514,13.691788,4.60e-5,13.275,6400,295.37400,46.04270
9474485,5683,0.53,1,54965.292272,0.015189,1.025163,1.10e-6,14.884,4469,295.46450,46.01700
9474969,,0.17,1,54984.792516,0.092816,21.570506,8.62e-5,12.462,6085,295.62890,46.05140
9475663,,0.80,1,54953.842439,0.043309,0.708027,6.00e-7,12.494,7790,295.86150,46.09750
9478836,,0.71,1,55002.132513,0.011850,0.254064,1.00e-7,15.218,4939,296.91220,46.02480
9479460,6205,0.53,1,55000.844058,0.036664,2.073883,1.11e-4,14.701,7568,297.11070,46.08960
9480516,,0.92,1,54954.296023,0.074731,1.429811,1.70e-6,13.391,7051,297.41060,46.02230
9480535,3901,0.02,1,55036.405603,0.113329,160.134110,1.37e-3,15.130,5825,297.41440,46.06080
9480977,,0.94,1,54954.427893,0.046240,0.871031,8.00e-7,12.299,7289,297.53100,46.01760
9481674,,0.78,1,54964.799881,0.025138,0.388860,3.00e-7,15.442,5347,297.71290,46.04860
9489411,,0.66,1,54971.104947,0.209414,6.688928,1.64e-5,13.960,4499,299.86340,46.07410
9489947,3385,0.01,1,55068.848694,0.027949,54.061315,3.30e-4,15.231,5570,300.01810,46.02630
9508052,,0.91,1,54964.649508,0.017348,0.279996,2.00e-7,15.923,5004,281.84740,46.12350
9508954,,0.80,1,55002.292760,0.085007,1.100646,8.90e-6,14.652,8512,282.50430,46.19980
9509207,,0.11,1,54954.547467,0.036813,14.199840,4.79e-5,13.135,,282.66820,46.16010
9512958,,0.76,1,55005.742909,0.207325,3.237151,5.70e-6,10.964,,284.83840,46.19890
9514070,,0.64,1,54999.793852,0.027595,0.607256,2.58e-5,15.179,6589,285.50400,46.10730
9517991,,0.00,1,54855.281872,0.085461,717.000000,7.35e-3,14.165,5568,287.82650,46.12840
9519590,,0.88,1,54964.676736,0.020544,0.330894,2.00e-7,13.916,5961,288.71560,46.16730
9520700,,0.31,1,54966.617453,0.028737,4.273669,8.60e-6,14.902,5595,289.33820,46.15280
9527167,,0.97,1,55002.154036,0.016074,0.280895,2.00e-7,15.523,5412,292.18360,46.15930
9528420,1742,0.39,1,54967.152605,0.046816,4.708469,9.90e-6,14.417,5982,292.65990,46.15950
9528430,3489,0.06,1,55006.987191,0.156285,90.082517,6.38e-4,12.963,6307,292.66360,46.11490
9529733,3600,0.46,1,54967.076403,0.051804,4.809132,5.07e-4,14.038,6221,293.20880,46.17310
9529856,,0.02,1,54988.839276,0.030947,37.482225,1.88e-4,13.460,6176,293.26250,46.15060
9532123,6069,0.15,1,55000.742539,0.029771,8.215000,1.95e-4,16.356,5434,294.17900,46.18840
9532219,,0.77,1,55001.945386,0.011223,0.198155,1.00e-7,16.118,5031,294.21680,46.18020
9532421,3710,0.14,1,55002.179801,0.014762,4.309126,2.83e-5,16.770,4720,294.29190,46.16200
9532591,,0.95,1,54964.788516,0.022206,0.358376,2.00e-7,15.426,5333,294.34570,46.12580
9533489,3783,0.00,1,54936.003032,0.017868,197.150000,1.92e-3,12.962,,294.67380,46.12270
9533508,,0.86,1,55002.057477,0.021503,0.373537,1.00e-6,14.309,,294.68260,46.10160
9533706,,0.78,1,55002.123818,0.016446,0.284118,3.00e-7,15.431,5675,294.76100,46.18490
9535080,1509,-1.00,1,54986.027785,,49.645296,2.84e-4,12.385,6021,295.26350,46.14800
9536053,,0.98,1,54965.040053,0.026582,0.472166,4.00e-7,13.754,6240,295.61560,46.14500
9540226,,-1.00,1,55115.624332,,175.458827,1.58e-3,11.672,4584,297.03400,46.19850
9540450,,0.44,1,54966.755030,0.023709,2.154713,3.20e-6,14.146,5556,297.09330,46.13240
9541127,,0.68,1,54953.974940,0.027157,0.536651,4.00e-7,12.558,6821,297.28380,46.11810
9544350,,0.92,1,54966.047971,0.129015,2.259777,3.40e-6,13.821,5932,298.18370,46.18870
9549472,6206,0.18,1,54965.097158,0.072513,15.713791,5.62e-5,14.049,5571,299.60910,46.11820
9551200,,0.56,1,54964.905263,0.011107,0.711922,6.00e-7,15.216,5059,300.11930,46.14490
9552608,80,0.11,1,54959.154587,0.023614,9.250621,2.60e-5,11.310,7906,300.53760,46.10430
9552668,,0.91,1,54955.628654,0.135189,2.387361,3.70e-6,12.947,5565,300.55630,46.10160
9569866,,0.46,1,54964.755149,0.019005,1.480323,1.90e-6,13.983,5110,282.22710,46.24620
9574614,1745,0.40,1,54965.685069,0.010595,0.982085,1.00e-6,15.933,5276,284.96710,46.27630
9576197,6207,0.34,1,54969.194149,0.067389,7.964434,2.11e-5,14.641,5082,285.88450,46.28980
9579192,,0.16,1,54960.531202,0.053426,12.083542,3.80e-5,12.344,6612,287.63190,46.29870
9579499,1461,0.05,1,54970.156681,0.010824,7.946715,2.11e-5,15.791,4705,287.80460,46.23890
9588822,4388,0.14,1,55146.574499,0.235964,71.760190,4.71e-4,12.045,5326,292.13430,46.20240
9592145,,0.65,1,54965.015451,0.023579,0.488867,4.00e-7,13.973,6658,293.51130,46.21110
9592575,3565,0.46,1,55186.130893,0.036333,2.637575,6.10e-6,15.902,5436,293.66930,46.29750
9592705,288,0.24,1,54969.172625,0.054382,10.275301,3.00e-5,11.020,,293.71650,46.22670
9592855,,0.60,1,54953.971963,0.026456,1.219325,1.40e-6,12.216,7290,293.77010,46.23660
9593528,3939,0.73,1,54965.365560,0.008889,1.886628,1.37e-4,15.210,6059,294.02820,46.20180
9593759,3800,0.28,1,54999.034886,0.016989,2.494318,1.31e-5,17.474,4594,294.10730,46.20950
9596037,,-1.00,1,54990.757471,,33.355613,1.64e-4,13.732,6341,294.94240,46.25010
9596089,3675,0.03,1,55008.172562,0.014885,20.838990,3.81e-3,16.583,5177,294.96230,46.22560
9596187,,0.48,1,54964.687540,0.013104,0.953317,1.00e-6,14.538,5929,294.99120,46.22360
9597095,,0.31,1,54967.452823,0.019329,2.745640,4.50e-6,15.945,,295.32860,46.26840
9597411,424,0.42,1,54965.577388,0.016903,1.575632,2.00e-6,14.731,5975,295.43480,46.20310
9602542,,0.99,1,54965.336523,0.082711,1.463174,1.80e-6,13.889,8037,297.12800,46.20970
9602595,5700,0.55,1,54955.853445,0.073731,3.556508,6.50e-6,11.882,7897,297.14350,46.22850
9612468,,1.00,1,54953.603803,0.007568,0.133471,1.00e-7,11.531,7202,299.98210,46.26240
9613070,3601,0.34,1,55000.262541,0.019174,2.331853,1.82e-4,14.087,6146,300.15650,46.20330
9632895,1451,0.06,1,54965.424466,0.041092,27.322046,1.23e-4,13.552,5425,283.24130,46.37850
9634821,2037,0.00,1,55016.728251,0.023862,73.757900,6.93e-4,15.213,4836,284.34270,46.31660
9635529,,0.39,1,54957.860296,0.035850,4.703910,9.80e-6,12.230,6347,284.70450,46.37880
9636559,3618,0.14,1,55004.655356,0.033337,10.636700,9.40e-5,17.035,6554,285.33440,46.30990
9637239,,0.91,1,54954.062934,0.044410,0.773026,7.00e-7,13.046,7237,285.73330,46.37820
9637265,,0.88,1,55002.700185,0.093712,1.855453,2.60e-6,13.930,7424,285.74630,46.35430
9637299,,0.44,1,54965.738270,0.021286,1.882441,2.60e-6,13.680,6061,285.76070,46.36700
9639265,,0.63,1,54964.808210,0.014098,0.506353,4.00e-7,15.575,5004,286.96040,46.32320
9639491,,0.73,1,54964.925448,0.016056,0.344546,2.00e-7,13.885,4833,287.11230,46.38080
9640921,,0.02,1,54972.436198,0.045035,80.706170,5.44e-4,15.395,5841,287.96380,46.30690
9640985,713,0.43,1,54965.015174,0.022641,2.178154,3.20e-6,13.835,6628,287.99610,46.32940
9641018,1504,0.43,1,54965.021796,0.022976,2.178155,3.20e-6,14.070,5708,288.01490,46.34900
9641031,,0.44,1,54954.132713,0.023434,2.178154,3.20e-6,9.177,5867,288.02030,46.32410
9641255,,0.49,1,54965.035651,0.032755,2.178148,4.10e-6,16.370,5136,288.15010,46.38800
9642018,4430,0.52,1,54964.767254,0.006647,0.505111,4.00e-7,15.544,5106,288.59680,46.32600
9644680,,0.68,1,54964.702637,0.028847,0.585941,5.00e-7,13.435,6985,289.99130,46.30090
9649222,6071,0.18,1,54965.923938,0.028505,5.918619,1.38e-5,15.678,5691,291.85850,46.38650
9649493,,0.85,1,54953.797050,0.022972,0.371569,2.00e-7,12.855,5964,291.95960,46.30910
9651298,,0.95,1,55001.718984,0.106306,2.155120,3.20e-6,13.455,7677,292.69670,46.39940
9652632,,0.38,1,54955.175512,0.036093,4.977624,1.06e-5,11.576,,293.24740,46.31040
9654476,,0.71,1,54964.624783,0.019903,0.396324,3.00e-7,14.828,5628,294.00860,46.38000
9655129,1714,0.46,1,54966.758434,0.025161,2.743997,4.50e-6,13.805,5140,294.24810,46.37400
9655187,,0.81,1,54953.965948,0.286530,4.416246,8.90e-6,11.517,7856,294.26750,46.30220
9656397,3543,0.00,1,55139.994350,0.078589,204.740105,5.05e-3,13.841,6301,294.70930,46.38470
9656543,3588,0.37,1,55002.402881,0.019511,2.544565,9.20e-6,16.319,5297,294.76860,46.37420
9657096,,0.94,1,54954.805351,0.122298,2.138182,3.10e-6,12.045,6276,294.97580,46.30430
9658118,3516,0.11,1,55005.057346,0.060710,24.059995,1.92e-3,14.158,6225,295.36600,46.37720
9661869,3647,0.04,1,55009.775821,0.070205,20.427100,2.38e-4,16.677,5915,296.65710,46.38050
9662581,,0.79,1,55002.116224,0.015322,0.258011,2.00e-7,15.808,4773,296.88720,46.39290
9664215,6072,0.27,1,54964.925032,0.021571,3.319496,6.00e-6,15.101,5543,297.35960,46.34360
9664382,,0.75,1,54999.946674,0.041055,0.290754,4.00e-7,16.584,4936,297.40710,46.31610
9665086,,0.69,1,55000.079903,0.012011,0.296536,2.00e-7,13.877,,297.61770,46.39330
9665503,,0.13,1,54970.340042,0.035232,11.567979,3.59e-5,15.217,5141,297.73760,46.35810
9673173,,0.09,1,54980.095925,0.046439,21.294740,8.62e-5,13.731,5838,300.01410,46.34530
9674608,1795,0.13,1,54966.249362,0.008446,2.972045,5.10e-6,15.772,4216,300.41730,46.33600
9692336,3859,0.63,1,55000.366656,0.024257,0.687898,1.80e-6,17.490,,282.17410,46.45680
9700154,,0.80,1,54964.788932,0.016893,0.257253,1.00e-7,15.495,4315,286.85480,46.40830
9700181,,0.86,1,55115.077295,0.170419,2.848618,4.70e-6,12.745,6426,286.87760,46.43380
9701423,,-1.00,1,55002.826201,,8.607397,2.34e-5,10.829,6529,287.60390,46.41280
9702641,,0.90,1,54964.962564,0.030668,0.503178,4.00e-7,12.589,5685,288.32720,46.47170
9703626,,0.78,1,54999.928395,0.024060,0.415148,3.00e-7,15.510,6163,288.86900,46.46580
9705459,1448,0.33,1,54969.595993,0.020694,2.486587,3.90e-6,15.418,5658,289.80520,46.49170
9706078,,0.60,1,54954.137288,0.017008,0.613561,5.00e-7,12.812,5692,290.06680,46.49280
9711751,,0.49,1,54965.356420,0.022928,1.711500,2.30e-6,13.788,6429,292.45790,46.43340
9711769,,-1.00,1,54971.276518,,12.935909,4.19e-5,13.379,6494,292.46480,46.49180
9713664,,0.89,1,54964.675186,0.020448,0.321236,2.00e-7,14.803,5585,293.25320,46.43310
9714123,3392,0.02,1,55020.266057,0.038413,50.355461,2.98e-4,15.724,5657,293.44370,46.47150
9714358,6073,0.13,1,54967.395501,0.021821,6.474177,1.57e-5,14.998,4825,293.54030,46.43730
9715925,3599,0.11,1,54998.931972,0.016542,6.308199,3.40e-5,16.515,4891,294.16440,46.42400
9715939,3690,0.08,1,55000.396998,0.021129,12.893029,1.03e-4,15.517,6146,294.16990,46.42530
9716456,,0.92,1,54953.739651,0.097083,1.813286,2.50e-6,11.980,8035,294.36890,46.40510
9717924,,0.72,1,55000.161105,0.079035,0.395588,1.70e-6,16.207,,294.90680,46.44230
9717958,4313,-1.00,1,54980.189904,,67.995354,4.41e-4,14.213,6083,294.91580,46.48530
9719636,3686,0.26,1,55000.791902,0.022314,3.351570,4.42e-5,17.279,5724,295.52620,46.45710
9722737,,0.79,1,54964.973968,0.024745,0.418528,3.00e-7,14.929,6517,296.62840,46.42460
9724080,,0.94,1,54965.666129,0.063672,1.173918,1.30e-6,13.904,7470,297.04140,46.46340
9724993,5708,0.12,1,54972.547822,0.022829,7.863366,2.07e-5,12.524,5509,297.31320,46.44820
9725155,,0.99,1,54953.898971,0.057208,1.127146,1.20e-6,12.752,8123,297.35970,46.40250
9752973,3162,0.43,1,55000.170599,0.006904,0.716709,6.00e-7,10.047,5865,282.19480,46.52290
9753154,2457,0.39,1,54998.553701,0.017831,3.704267,6.90e-6,12.402,6514,282.30120,46.51620
9758089,1871,0.02,1,55010.460225,0.049608,92.729051,6.93e-4,14.897,4449,285.25370,46.58220
9760531,,1.00,1,54953.906065,0.016139,0.272798,2.00e-7,9.540,6742,286.74910,46.53900
9761199,1459,0.36,1,54964.726426,0.008488,1.384039,1.70e-6,15.692,4060,287.14310,46.50810
9761573,3837,0.10,1,55000.079122,0.019174,7.441608,9.45e-4,14.114,6308,287.37170,46.56480
9761882,948,0.06,1,55006.714634,0.044466,24.585978,1.05e-4,15.598,5298,287.56970,46.56790
9762519,,0.12,1,54971.079254,0.022464,7.515147,1.94e-5,13.711,5435,287.94140,46.58240
9767392,6211,0.50,1,54999.580215,0.038408,2.914515,2.38e-4,14.713,6402,290.47800,46.53800
9767437,,0.67,1,54953.750593,0.009932,0.712722,6.00e-7,12.842,4770,290.49440,46.53640
9772531,950,0.01,1,54985.205319,0.017182,31.201689,1.49e-4,15.798,3871,292.65700,46.53730
9772642,,0.80,1,54953.633778,0.016441,0.275432,2.00e-7,13.547,4927,292.70370,46.58950
9774400,6212,0.45,1,54959.350980,0.132744,10.818293,3.25e-5,13.392,5684,293.45510,46.52180
9775253,3621,0.11,1,55001.832640,0.019538,8.788496,1.18e-3,16.705,,293.79740,46.56180
9776718,,0.87,1,54999.939128,0.031355,0.544351,7.00e-7,15.037,,294.33520,46.58230
9777062,,0.08,1,54965.580711,0.043129,19.230038,7.37e-5,12.241,7466,294.46080,46.58970
9777090,3672,0.18,1,55000.366852,0.022635,5.508136,6.38e-4,17.779,4867,294.47160,46.58920
9777987,,0.76,1,55000.067554,0.032309,0.258500,4.00e-7,16.283,,294.79550,46.50650
9783760,3487,0.00,1,55038.270252,0.020462,89.739560,6.38e-4,14.294,5572,296.86250,46.54550
9784230,3851,0.55,1,55000.487561,0.071806,0.798198,2.30e-6,17.579,,296.99050,46.59900
9784371,,0.95,1,54957.472723,0.187266,3.301226,5.90e-6,11.880,7999,297.02900,46.52870
9785454,3577,0.01,1,55070.693328,0.099067,184.520000,1.92e-3,14.070,5162,297.34170,46.54340
9786017,5714,0.55,1,54956.640472,0.064060,4.498003,9.20e-6,12.502,5753,297.50800,46.52160
9786165,,0.73,1,54999.874947,0.017454,0.332625,1.90e-6,17.131,6098,297.54570,46.57790
9786798,,0.74,1,54964.915162,0.023290,0.445468,3.00e-7,15.274,5983,297.71860,46.59760
9786821,,0.36,2,54964.954288,0.052788,8.593502,2.32e-5,11.510,,297.72570,46.54880
9786821,,0.02,2,54962.007795,0.014194,21.120019,8.45e-5,11.510,,297.72570,46.54880
9788113,,0.99,1,55019.675488,0.105204,2.068058,3.00e-6,11.702,,298.09700,46.56500
9788457,,0.60,1,54965.186856,0.032084,0.963338,1.00e-6,13.005,7939,298.19870,46.52990
9790355,,-1.00,1,55001.236851,,14.565548,4.99e-5,14.055,5668,298.74190,46.57730
9790965,,0.59,1,54953.733954,0.017349,0.822068,8.00e-7,13.388,6309,298.91160,46.58660
9813678,,0.56,1,55000.286959,0.009551,0.505079,3.60e-6,15.992,5190,282.50900,46.63440
9818732,,0.05,1,54965.632695,0.058649,45.035591,2.48e-4,14.529,6309,285.47280,46.69870
9821078,,0.95,1,54965.291483,0.022997,8.429438,2.28e-5,14.117,4112,286.81930,46.66480
9821151,3243,0.13,1,54999.008930,0.022782,8.429413,2.26e-5,12.385,6135,286.85980,46.62550
9821923,,0.95,1,54964.812382,0.020614,0.349533,2.00e-7,14.210,5730,287.34500,46.63720
9827122,,0.86,1,55003.194668,0.127949,2.154922,3.20e-6,11.844,,290.16730,46.61660
9827149,2586,0.32,1,54966.651407,0.024574,2.131939,4.50e-6,15.545,5599,290.17620,46.69830
9832227,,0.95,1,54953.951368,0.027693,0.457948,3.00e-7,12.260,5854,292.31640,46.62220
9832545,,0.59,1,55000.093984,0.027583,1.020750,4.04e-5,15.178,7903,292.45780,46.65750
9833618,,0.61,1,54964.924093,0.047554,1.408502,1.70e-6,13.681,6206,292.96630,46.66280
9833806,,0.66,1,54964.729734,0.013156,0.393176,3.00e-7,13.497,4942,293.04870,46.61660
9834257,3457,0.10,1,55003.014878,0.036964,15.651439,5.53e-5,12.429,6342,293.23320,46.60020
9834719,715,0.20,1,54966.059263,0.011510,3.243338,5.80e-6,13.900,5854,293.42640,46.68790
9835416,,-1.00,1,54957.446497,,4.036605,7.80e-6,13.338,6994,293.69650,46.62050
9837083,3719,0.52,1,55002.313907,0.009604,0.623394,7.00e-7,16.180,,294.31940,46.61960
